Teams,Seasons,Players,Matches,Goals,Assists,Seasons Ratings
InterMiami,2024,Lionel Messi,15,14,11,8.5
InterMiami,2023,Lionel Messi,14,11,5,8
PSG,2022/2023,Lionel Messi,41,21,20,8.1
PSG,2021/2022,Lionel Messi,34,11,14,7.9
Barcelona,2020/2021,Lionel Messi,47,38,12,8.4
Barcelona,2019/2020,Lionel Messi,44,31,25,8.3
Barcelona,2018/2019,Lionel Messi,50,51,19,8.5
Barcelona,2017/2018,Lionel Messi,54,45,18,8.4
Barcelona,2016/2017,Lionel Messi,52,54,16,8.4
AL Nassr,2023/2024,Cristiano Ronaldo,51,50,13,8.1
AL Nassr,2022/2023,Cristiano Ronaldo,19,14,2,7.7
Man United,2021/2022,Cristiano Ronaldo,16,3,2,7
Man United,2020/2021,Cristiano Ronaldo,38,24,3,7.5
Juventus,2019/2020,Cristiano Ronaldo,1,0,0,6.7
Juventus,2018/2019,Cristiano Ronaldo,44,36,5,7.9
Juventus,2017/2018,Cristiano Ronaldo,43,28,10,7.9
Real Madrid,2016/2017,Cristiano Ronaldo,46,42,11,7.9
Real Madrid,2015/2016,Cristiano Ronaldo,48,51,15,8.6
AL Hilal,2023/2024,Neymar,5,1,2,7.5
PSG,2022/2023,Neymar,29,18,16,8
PSG,2021/2022,Neymar,28,13,8,7.8
PSG,2020/2021,Neymar,31,17,7,7.7
PSG,2019/2020,Neymar,27,19,11,8.3
PSG,2018/2019,Neymar,28,23,10,8.4
PSG,2017/2018,Neymar,30,28,16,8.9
Barcelona,2016/2017,Neymar,45,20,21,8.4
Barcelona,2015/2016,Neymar,49,31,20,8.6
PSG,2023/2024,Kylian Mbappe,48,44,10,8
PSG,2022/2023,Kylian Mbappe,43,41,9,7.9
PSG,2021/2022,Kylian Mbappe,46,39,21,8.2
PSG,2020/2021,Kylian Mbappe,47,42,11,7.9
PSG,2019/2020,Kylian Mbappe,37,30,14,7.9
PSG,2018/2019,Kylian Mbappe,43,39,13,8.1
PSG,2017/2018,Kylian Mbappe,44,21,13,7.6
Monaco,2016/2017,Kylian Mbappe,2,0,0,7.6
Monaco,2015/2016,Kylian Mbappe,44,26,8,7.5
Liverpool,2023/2024,Mohamed Salah,44,25,13,7.5
Liverpool,2022/2023,Mohamed Salah,51,30,16,7.5
